iteration;exec time (1 thread);exec time (16 threads);exec time (16 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(16 threads)
87;22.010559;6.838374;1.375660;3.218683;16.000000;0.201168;1.000000;52319184.000000;52319188.000000
88;22.229617;6.948170;1.389351;3.199348;16.000000;0.199959;1.000000;52071556.000000;52071552.000000
89;22.457931;7.057219;1.403621;3.182264;16.000000;0.198891;1.000000;51824856.000000;51824872.000000
90;22.711909;7.167005;1.419494;3.168954;16.000000;0.198060;1.000000;51579908.000000;51579944.000000
91;22.946552;7.226169;1.434160;3.175480;16.000000;0.198467;1.000000;51336232.000000;94304672.000000
92;23.194678;7.284130;1.449667;3.184276;16.000000;0.199017;1.000000;51093792.000000;51093792.000000
93;23.428873;7.341275;1.464305;3.191390;16.000000;0.199462;1.000000;50852836.000000;50852824.000000
94;23.693225;7.401476;1.480827;3.201149;16.000000;0.200072;1.000000;50613116.000000;50613096.000000
95;23.924323;7.467566;1.495270;3.203765;16.000000;0.200235;1.000000;50374400.000000;50374396.000000
96;24.158467;7.577631;1.509904;3.188129;16.000000;0.199258;1.000000;50137180.000000;50137160.000000
97;24.382078;7.687809;1.523880;3.171525;16.000000;0.198220;1.000000;49901248.000000;49901216.000000
98;24.656964;7.795948;1.541060;3.162792;16.000000;0.197675;1.000000;49666280.000000;49666252.000000
99;24.934314;7.906009;1.558395;3.153843;16.000000;0.197115;1.000000;49432832.000000;49432840.000000
100;25.227837;8.023205;1.576740;3.144359;16.000000;0.196522;1.000000;49200940.000000;49200936.000000
101;25.552346;8.134562;1.597022;3.141208;16.000000;0.196325;1.000000;48969828.000000;48969832.000000
102;25.819741;8.193855;1.613734;3.151110;16.000000;0.196944;1.000000;48740224.000000;97480376.000000
103;26.098284;8.260967;1.631143;3.159229;16.000000;0.197452;1.000000;48511160.000000;97022288.000000
104;26.358945;8.325593;1.647434;3.166014;16.000000;0.197876;1.000000;48283888.000000;48283884.000000
105;26.665754;8.384584;1.666610;3.180331;16.000000;0.198771;1.000000;48058136.000000;48058152.000000
106;26.900620;8.446912;1.681289;3.184669;16.000000;0.199042;1.000000;47833192.000000;47833208.000000
107;27.125901;8.556441;1.695369;3.170232;16.000000;0.198139;1.000000;47609592.000000;47609592.000000
108;27.410791;8.665803;1.713174;3.163099;16.000000;0.197694;1.000000;47386708.000000;47386724.000000
109;27.643654;8.775630;1.727728;3.150048;16.000000;0.196878;1.000000;47165708.000000;47165700.000000
110;27.868405;8.833303;1.741775;3.154925;16.000000;0.197183;1.000000;46945492.000000;46945504.000000
111;28.098576;8.891791;1.756161;3.160058;16.000000;0.197504;1.000000;46726872.000000;46726880.000000
112;28.401855;8.951229;1.775116;3.172956;16.000000;0.198310;1.000000;46509052.000000;46509044.000000
113;28.627733;9.010260;1.789233;3.177237;16.000000;0.198577;1.000000;46292004.000000;92583992.000000
114;28.877123;9.070994;1.804820;3.183457;16.000000;0.198966;1.000000;46076848.000000;46076908.000000
115;29.116186;9.180483;1.819762;3.171531;16.000000;0.198221;1.000000;45862776.000000;45862784.000000
116;29.376573;9.290066;1.836036;3.162149;16.000000;0.197634;1.000000;45648984.000000;45648976.000000
117;29.609340;9.400513;1.850584;3.149758;16.000000;0.196860;1.000000;45437068.000000;45437064.000000
118;29.839867;9.457666;1.864992;3.155098;16.000000;0.197194;1.000000;45226236.000000;45226232.000000
119;30.080920;9.516070;1.880058;3.161065;16.000000;0.197567;1.000000;45016260.000000;45016240.000000
120;30.334325;9.576726;1.895895;3.167505;16.000000;0.197969;1.000000;44808100.000000;44808108.000000
121;30.580553;9.638365;1.911285;3.172795;16.000000;0.198300;1.000000;44600292.000000;89200528.000000
122;30.808599;9.702831;1.925537;3.175217;16.000000;0.198451;1.000000;44393620.000000;44393612.000000
123;31.074446;9.789654;1.942153;3.174213;16.000000;0.198388;1.000000;44188568.000000;44188576.000000
124;31.313025;9.898922;1.957064;3.163276;16.000000;0.197705;1.000000;43984076.000000;43984088.000000
125;31.540304;10.008636;1.971269;3.151309;16.000000;0.196957;1.000000;43780952.000000;43780980.000000
126;31.766689;10.119154;1.985418;3.139263;16.000000;0.196204;1.000000;43578500.000000;43578520.000000
127;32.037237;10.227644;2.002327;3.132416;16.000000;0.195776;1.000000;43377636.000000;43377656.000000
128;32.273464;10.334936;2.017091;3.122754;16.000000;0.195172;1.000000;43177640.000000;43177660.000000
129;32.500140;10.393453;2.031259;3.126982;16.000000;0.195436;1.000000;42978544.000000;42978560.000000
130;32.748807;10.452273;2.046800;3.133176;16.000000;0.195823;1.000000;42780560.000000;85561096.000000
131;33.002001;10.510817;2.062625;3.139813;16.000000;0.196238;1.000000;42584016.000000;42584100.000000
132;33.230961;10.568773;2.076935;3.144259;16.000000;0.196516;1.000000;42388320.000000;42388336.000000
133;33.472440;10.630865;2.092028;3.148609;16.000000;0.196788;1.000000;42193024.000000;84385952.000000
134;33.717947;10.740079;2.107372;3.139450;16.000000;0.196216;1.000000;41999336.000000;41999352.000000
135;33.949995;10.849279;2.121875;3.129240;16.000000;0.195577;1.000000;41806824.000000;41806832.000000
136;34.202966;10.958939;2.137685;3.121011;16.000000;0.195063;1.000000;41615224.000000;41615252.000000
137;34.461778;11.068290;2.153861;3.113559;16.000000;0.194597;1.000000;41424024.000000;41424024.000000
138;34.727582;11.176865;2.170474;3.107095;16.000000;0.194193;1.000000;41234440.000000;41234476.000000
139;34.955104;11.284081;2.184694;3.097736;16.000000;0.193608;1.000000;41045840.000000;41045860.000000
140;35.185587;11.393308;2.199099;3.088268;16.000000;0.193017;1.000000;40857812.000000;40857844.000000
141;35.442487;11.503574;2.215155;3.080998;16.000000;0.192562;1.000000;40671284.000000;40671288.000000
142;35.676063;11.564998;2.229754;3.084831;16.000000;0.192802;1.000000;40485680.000000;40485676.000000
143;35.905984;11.624293;2.244124;3.088875;16.000000;0.193055;1.000000;40300444.000000;40300456.000000
144;36.131215;11.682686;2.258201;3.092715;16.000000;0.193295;1.000000;40116904.000000;40116896.000000
145;36.412553;11.743255;2.275785;3.100721;16.000000;0.193795;1.000000;39933808.000000;39933792.000000
146;36.646842;11.803119;2.290428;3.104844;16.000000;0.194053;1.000000;39751868.000000;79503616.000000
147;36.866996;11.912900;2.304187;3.094712;16.000000;0.193420;1.000000;39571096.000000;39571096.000000
148;37.100581;12.022277;2.318786;3.085986;16.000000;0.192874;1.000000;39391052.000000;39391048.000000
149;37.377901;12.130078;2.336119;3.081423;16.000000;0.192589;1.000000;39211924.000000;78423744.000000
150;37.602958;12.189456;2.350185;3.084876;16.000000;0.192805;1.000000;39033764.000000;39033764.000000
151;37.841473;12.246168;2.365092;3.090067;16.000000;0.193129;1.000000;38856508.000000;38856508.000000
152;38.089818;12.305969;2.380614;3.095231;16.000000;0.193452;1.000000;38680488.000000;38680504.000000
153;38.359148;12.364275;2.397447;3.102418;16.000000;0.193901;1.000000;38504640.000000;38504648.000000
154;38.612548;12.423388;2.413284;3.108053;16.000000;0.194253;1.000000;38330340.000000;38330336.000000
155;38.845743;12.531933;2.427859;3.099741;16.000000;0.193734;1.000000;38157084.000000;38157080.000000
156;39.097960;12.641189;2.443622;3.092902;16.000000;0.193306;1.000000;37984104.000000;37984120.000000
157;39.345966;12.750279;2.459123;3.085891;16.000000;0.192868;1.000000;37812356.000000;37812352.000000
158;39.578766;12.810147;2.473673;3.089642;16.000000;0.193103;1.000000;37641340.000000;37641280.000000
159;39.805116;12.869254;2.487820;3.093040;16.000000;0.193315;1.000000;37471516.000000;37471512.000000
160;40.110235;12.927098;2.506890;3.102803;16.000000;0.193925;1.000000;37302364.000000;37302360.000000
161;40.330948;12.983407;2.520684;3.106346;16.000000;0.194147;1.000000;37134208.000000;37134216.000000
162;40.557099;13.049983;2.534819;3.107828;16.000000;0.194239;1.000000;36967296.000000;36967304.000000
163;40.790997;13.159322;2.549437;3.099779;16.000000;0.193736;1.000000;36800668.000000;36800664.000000
164;41.070038;13.267528;2.566877;3.095530;16.000000;0.193471;1.000000;36634696.000000;36634680.000000
165;41.320012;13.323946;2.582501;3.101184;16.000000;0.193824;1.000000;36469968.000000;36469952.000000
166;41.573116;13.383189;2.598320;3.106368;16.000000;0.194148;1.000000;36306232.000000;36306248.000000
167;41.811180;13.443248;2.613199;3.110199;16.000000;0.194387;1.000000;36143188.000000;36143208.000000
168;42.070193;13.499962;2.629387;3.116319;16.000000;0.194770;1.000000;35981220.000000;35981216.000000
169;42.308328;13.562566;2.644271;3.119493;16.000000;0.194968;1.000000;35819700.000000;35819704.000000
170;42.533451;13.672498;2.658341;3.110876;16.000000;0.194430;1.000000;35659428.000000;35659616.000000
171;42.779035;13.781449;2.673690;3.104103;16.000000;0.194006;1.000000;35499912.000000;35500124.000000
172;43.035145;13.889376;2.689697;3.098422;16.000000;0.193651;1.000000;35340584.000000;35340588.000000
173;43.261306;13.949467;2.703832;3.101287;16.000000;0.193830;1.000000;35182544.000000;35182544.000000
174;43.510978;14.009505;2.719436;3.105818;16.000000;0.194114;1.000000;35025788.000000;35026012.000000
175;43.792808;14.070146;2.737050;3.112463;16.000000;0.194529;1.000000;34869008.000000;62591204.000000
176;44.032759;14.127883;2.752047;3.116727;16.000000;0.194795;1.000000;34713492.000000;34713496.000000
177;44.272200;14.186686;2.767012;3.120687;16.000000;0.195043;1.000000;34558760.000000;34558760.000000
178;44.510372;14.296595;2.781898;3.113355;16.000000;0.194585;1.000000;34404508.000000;34404496.000000
179;44.795044;14.406328;2.799690;3.109400;16.000000;0.194338;1.000000;34251516.000000;34251520.000000
180;45.032391;14.516753;2.814524;3.102098;16.000000;0.193881;1.000000;34099028.000000;34099036.000000
181;45.266279;14.573826;2.829142;3.105998;16.000000;0.194125;1.000000;33947364.000000;33947356.000000
182;45.500749;14.632706;2.843797;3.109524;16.000000;0.194345;1.000000;33796212.000000;33796204.000000
183;45.768918;14.689677;2.860557;3.115720;16.000000;0.194732;1.000000;33646568.000000;33646576.000000
184;46.049169;14.750351;2.878073;3.121903;16.000000;0.195119;1.000000;33497198.000000;33497202.000000
185;46.275871;14.808968;2.892242;3.124855;16.000000;0.195303;1.000000;33348542.000000;33348550.000000
186;46.536701;14.919031;2.908544;3.119284;16.000000;0.194955;1.000000;33201018.000000;33201044.000000
187;46.778430;15.028491;2.923652;3.112650;16.000000;0.194541;1.000000;33053742.000000;33053742.000000
188;47.001885;15.138062;2.937618;3.104881;16.000000;0.194055;1.000000;32907200.000000;32907202.000000
189;47.236499;15.197890;2.952281;3.108096;16.000000;0.194256;1.000000;32761748.000000;117115600.000000
190;47.522576;15.258112;2.970161;3.114578;16.000000;0.194661;1.000000;32617378.000000;32617366.000000
191;47.750957;15.313766;2.984435;3.118172;16.000000;0.194886;1.000000;32472950.000000;32472946.000000
192;47.971250;15.373046;2.998203;3.120478;16.000000;0.195030;1.000000;32329774.000000;32329592.000000
193;48.198300;15.434825;3.012394;3.122698;16.000000;0.195169;1.000000;32187276.000000;32187278.000000
194;48.500370;15.524845;3.031273;3.124049;16.000000;0.195253;1.000000;32045264.000000;32045272.000000
195;48.723723;15.634889;3.045233;3.116346;16.000000;0.194772;1.000000;31904036.000000;31904046.000000
196;48.957956;15.743579;3.059872;3.109709;16.000000;0.194357;1.000000;31763628.000000;31763632.000000
197;49.199509;15.852447;3.074969;3.103591;16.000000;0.193974;1.000000;31623992.000000;31624004.000000
198;49.439711;15.961947;3.089982;3.097348;16.000000;0.193584;1.000000;31485022.000000;31485036.000000
199;49.677492;16.019783;3.104843;3.101009;16.000000;0.193813;1.000000;31346756.000000;31346760.000000
200;49.904379;16.075933;3.119024;3.104291;16.000000;0.194018;1.000000;31209298.000000;62418188.000000
201;50.154883;16.137264;3.134680;3.108017;16.000000;0.194251;1.000000;31072380.000000;31072392.000000
202;50.403155;16.199317;3.150197;3.111437;16.000000;0.194465;1.000000;30936092.000000;55069880.000000
203;50.633912;16.255604;3.164619;3.114859;16.000000;0.194679;1.000000;30800848.000000;30800848.000000
204;50.859614;16.365095;3.178726;3.107810;16.000000;0.194238;1.000000;30665896.000000;30665914.000000
205;51.133034;16.474340;3.195815;3.103799;16.000000;0.193987;1.000000;30531778.000000;30531784.000000
206;51.368277;16.584081;3.210517;3.097445;16.000000;0.193590;1.000000;30398436.000000;30398450.000000
207;51.593580;16.642268;3.224599;3.100153;16.000000;0.193760;1.000000;30265474.000000;30265490.000000
208;51.831423;16.698819;3.239464;3.103897;16.000000;0.193994;1.000000;30133568.000000;30133586.000000
209;52.156553;16.757261;3.259785;3.112475;16.000000;0.194530;1.000000;30002212.000000;30002208.000000
210;52.403560;16.815429;3.275222;3.116397;16.000000;0.194775;1.000000;29871164.000000;29871124.000000
211;52.633537;16.874578;3.289596;3.119102;16.000000;0.194944;1.000000;29741224.000000;29741222.000000
212;52.862009;16.984826;3.303876;3.112308;16.000000;0.194519;1.000000;29612132.000000;29612144.000000
213;53.120719;17.094151;3.320045;3.107538;16.000000;0.194221;1.000000;29483054.000000;29483052.000000
214;53.350694;17.151718;3.334418;3.110516;16.000000;0.194407;1.000000;29355188.000000;29355172.000000
215;53.600070;17.210841;3.350004;3.114320;16.000000;0.194645;1.000000;29227772.000000;29227776.000000
